book1,book2,cosine_similarity
262.txt,313.txt,0.18375236880923082
323.txt,207.txt,0.1837174507426584
317.txt,264.txt,0.1836933675120969
99.txt,5.txt,0.18316715313980386
71.txt,99.txt,0.18290992869388853
101.txt,56.txt,0.18287517319442753
262.txt,400.txt,0.18277198720676768
336.txt,490.txt,0.1821443806587214
5.txt,300.txt,0.18207076188352628
202.txt,71.txt,0.1818177591041727
18.txt,104.txt,0.18142688757606587
357.txt,317.txt,0.18109611730360603
258.txt,458.txt,0.18106763836422102
200.txt,404.txt,0.180990986155138
30.txt,58.txt,0.18097337310503353
359.txt,58.txt,0.18096108980466327
26.txt,151.txt,0.18049690915114552
26.txt,131.txt,0.18039716040914144
392.txt,409.txt,0.18025394648716395
38.txt,49.txt,0.17976563983932559
10.txt,418.txt,0.17950749272631633
323.txt,259.txt,0.17939782173985805
458.txt,424.txt,0.1792348172807184
228.txt,232.txt,0.17860598720222332
312.txt,317.txt,0.17836300457804619
341.txt,340.txt,0.1782686820600871
234.txt,109.txt,0.1778965252487715
206.txt,472.txt,0.17786477138553192
273.txt,274.txt,0.17782062362032783
475.txt,370.txt,0.17776504120316
26.txt,487.txt,0.17750052444214837
473.txt,28.txt,0.17732681705069578
54.txt,485.txt,0.17714046197173117
315.txt,309.txt,0.17694158300643448
232.txt,409.txt,0.17682132810851225
146.txt,442.txt,0.1767172556424462
200.txt,381.txt,0.1766735456644456
397.txt,230.txt,0.1765929002773021
262.txt,261.txt,0.17552743772712126
323.txt,357.txt,0.17547508249488655
169.txt,258.txt,0.17544283526695004
26.txt,323.txt,0.17544007392250405
381.txt,342.txt,0.1754201791488934
309.txt,312.txt,0.17529541327669462
359.txt,109.txt,0.17516720911727324
232.txt,312.txt,0.17516249374185097
312.txt,400.txt,0.17511273776505726
476.txt,381.txt,0.1747166755231333
169.txt,392.txt,0.17426729902842433
370.txt,342.txt,0.17424459781046314
8.txt,4.txt,0.1741705703334563
360.txt,379.txt,0.1741416757181096
206.txt,67.txt,0.17404998206275063
232.txt,487.txt,0.17388321585860406
200.txt,360.txt,0.17386712578314348
360.txt,71.txt,0.1730962906952013
458.txt,263.txt,0.17280260983423495
452.txt,381.txt,0.17271570167431052
357.txt,458.txt,0.1726866523717967
452.txt,379.txt,0.172611375159536
323.txt,458.txt,0.172578754664128
444.txt,61.txt,0.17247799727414576
370.txt,379.txt,0.17239894037161807
370.txt,148.txt,0.17225706672395755
259.txt,312.txt,0.1721840058534304
131.txt,58.txt,0.17192045925416607
82.txt,392.txt,0.17165178675022816
312.txt,207.txt,0.17147975423492795
356.txt,291.txt,0.17129074167357672
305.txt,60.txt,0.17099705253137684
38.txt,53.txt,0.1707390770695123
359.txt,264.txt,0.17053589287268744
200.txt,444.txt,0.1704948499183911
360.txt,475.txt,0.170429915593648
475.txt,408.txt,0.17033489572054833
323.txt,328.txt,0.17027756959674356
477.txt,445.txt,0.1701813131474265
