book1,book2,cosine_similarity
101.txt,34.txt,0.207838349361674
452.txt,26.txt,0.2075281148434661
452.txt,370.txt,0.2072695838843283
470.txt,381.txt,0.2071857676948033
392.txt,258.txt,0.2070708994932587
250.txt,4.txt,0.20704350304645822
54.txt,486.txt,0.2070312942502237
392.txt,109.txt,0.20702021261279072
10.txt,169.txt,0.2069855391386968
458.txt,400.txt,0.2066937981449113
250.txt,6.txt,0.20643284715465046
351.txt,457.txt,0.2063945365740847
370.txt,376.txt,0.20627571410567233
228.txt,400.txt,0.20610488295874954
458.txt,109.txt,0.20590912428543137
250.txt,3.txt,0.20559408295866502
26.txt,261.txt,0.20527572448369502
307.txt,304.txt,0.20518659810089257
214.txt,213.txt,0.20375228926101294
20.txt,58.txt,0.2036403420799868
250.txt,7.txt,0.20255767774364816
360.txt,448.txt,0.2021626601808449
309.txt,458.txt,0.2015893988615494
214.txt,304.txt,0.2014704670306484
71.txt,9.txt,0.2014261740845752
351.txt,462.txt,0.20093166726767783
262.txt,312.txt,0.20092882970561207
359.txt,163.txt,0.2009087641968793
465.txt,365.txt,0.20039509370651234
200.txt,18.txt,0.19956753839809108
202.txt,408.txt,0.1992586434566438
32.txt,489.txt,0.1989279770389349
258.txt,357.txt,0.19876866619657085
210.txt,494.txt,0.19850415440904082
261.txt,317.txt,0.19801832880887643
169.txt,109.txt,0.19779911816258808
99.txt,9.txt,0.19769720983918165
359.txt,26.txt,0.19674253482615886
317.txt,487.txt,0.19664243061431003
101.txt,53.txt,0.19664112102371822
200.txt,405.txt,0.19559750691741987
400.txt,109.txt,0.19512749554150555
18.txt,360.txt,0.19465828955304848
10.txt,392.txt,0.19410381845774594
458.txt,313.txt,0.1940956310282105
58.txt,264.txt,0.1940921517301854
458.txt,261.txt,0.19399467515451818
379.txt,470.txt,0.1939528934054096
476.txt,475.txt,0.19380578083607614
260.txt,26.txt,0.19345553081200279
359.txt,474.txt,0.19314623465727648
200.txt,260.txt,0.1928465537522474
373.txt,381.txt,0.19248813771096016
73.txt,447.txt,0.19237676101498258
10.txt,234.txt,0.1919758719694495
82.txt,357.txt,0.1919734799464294
10.txt,131.txt,0.1919532855754877
463.txt,447.txt,0.19137754966817866
458.txt,207.txt,0.19115452217237736
323.txt,309.txt,0.191148234873188
328.txt,207.txt,0.1907372201332546
409.txt,109.txt,0.19041847607845125
10.txt,232.txt,0.190226732594803
108.txt,446.txt,0.19010641031419054
221.txt,446.txt,0.19010154007412192
262.txt,458.txt,0.1897926812978643
275.txt,272.txt,0.18968823866617082
261.txt,312.txt,0.1896841011515073
307.txt,213.txt,0.18940707880258226
452.txt,357.txt,0.18906575156331004
26.txt,31.txt,0.18876557717545697
8.txt,3.txt,0.1876813487944035
326.txt,365.txt,0.18767701042769075
260.txt,58.txt,0.18738814277327476
79.txt,75.txt,0.187354611320278
400.txt,317.txt,0.18630389134047123
31.txt,58.txt,0.18626335533723004
264.txt,109.txt,0.18622962944769733
200.txt,371.txt,0.18618224977613473
79.txt,38.txt,0.18598602292940794
453.txt,215.txt,0.18597991429340513
452.txt,58.txt,0.1857802871196826
444.txt,448.txt,0.18577199320495338
458.txt,487.txt,0.1854165106914786
232.txt,261.txt,0.1852909550297016
397.txt,109.txt,0.18494714996103748
67.txt,23.txt,0.1849223147155597
312.txt,109.txt,0.18432685820260403
458.txt,264.txt,0.1840028304676773
137.txt,442.txt,0.1839635284428861
373.txt,481.txt,0.18395895182837604
